shipment_id,date,month,origin_port,destination_port,transport_mode,product_category,distance_km,weight_mt,fuel_price_index,geopolitical_risk_score,weather_condition,carrier_reliability_score,lead_time_days,disruption_occurred,copper__usd_per_mt
SC-10063,2024-02-16,2024-02-01,Los Angeles,Marseille,Road,Textiles,5672.92,164.61,1.96,2.4,Storm,0.887,11.04,0,8304.95
SC-10065,2024-08-21,2024-08-01,Antwerp,Marseille,Sea,Electronics,8369.09,19.32,3.36,6.9,Storm,0.713,47.52,1,8971.96
SC-10066,2024-10-23,2024-10-01,Los Angeles,Singapore,Air,Automotive,2543.4,237.91,3.45,0.3,Fog,0.647,0.85,0,9533.99
SC-10067,2024-03-22,2024-03-01,Busan,Los Angeles,Air,Automotive,12131.86,168.83,3.68,6.2,Clear,0.82,0.5,0,8689.13
SC-10068,2024-08-26,2024-08-01,Los Angeles,Shanghai,Sea,Automotive,1580.98,460.35,2.86,1.4,Rain,0.708,3.32,1,8971.96
SC-10069,2024-04-13,2024-04-01,Dubai,Singapore,Rail,Electronics,14809.86,6.99,4.15,9.5,Fog,0.797,23.13,0,9464.43
SC-10071,2024-10-11,2024-10-01,Antwerp,Marseille,Sea,Pharmaceuticals,3381.38,370.59,3.86,2.3,Rain,0.576,6.46,0,9533.99
SC-10075,2024-06-15,2024-06-01,Busan,Dubai,Rail,Automotive,11070.6,259.49,2.1,5.2,Storm,0.747,30.22,1,9648.17
SC-10077,2024-12-29,2024-12-01,Busan,Marseille,Sea,Electronics,1573.65,119.07,2.66,3.4,Storm,0.707,7.76,1,8916.32
SC-10078,2024-08-02,2024-08-01,Singapore,Marseille,Road,Electronics,5697.75,242.27,1.39,0.8,Fog,0.893,4.7,0,8971.96
SC-10080,2024-09-30,2024-09-01,Antwerp,Singapore,Sea,Perishables,13015.0,38.37,3.14,6.7,Storm,0.848,71.68,1,9237.48
SC-10084,2024-03-14,2024-03-01,Rotterdam,Dubai,Rail,Perishables,5009.24,98.28,1.31,2.4,Hurricane,0.542,31.75,1,8689.13
SC-10087,2024-06-24,2024-06-01,Dubai,Antwerp,Road,Textiles,9744.58,31.91,2.58,1.4,Clear,0.534,6.24,0,9648.17
SC-10089,2024-09-07,2024-09-01,Antwerp,Dubai,Air,Electronics,7347.12,60.49,1.95,3.4,Hurricane,0.75,3.66,1,9237.48
SC-10090,2024-06-16,2024-06-01,Los Angeles,Singapore,Air,Electronics,2234.12,19.19,1.93,2.3,Rain,0.853,0.5,1,9648.17
SC-10093,2024-10-03,2024-10-01,Dubai,Singapore,Air,Automotive,8638.52,59.87,4.0,4.0,Fog,0.705,1.94,1,9533.99
SC-10097,2024-08-12,2024-08-01,Rotterdam,Hamburg,Air,Textiles,6699.34,131.94,3.58,5.6,Hurricane,0.799,3.61,1,8971.96
SC-10099,2024-11-28,2024-11-01,Hamburg,Marseille,Road,Pharmaceuticals,2064.43,20.92,1.75,0.3,Clear,0.596,0.99,0,9075.73
SC-10100,2024-02-27,2024-02-01,Dubai,Shanghai,Air,Electronics,955.72,225.09,4.41,4.7,Fog,0.953,0.6,0,8304.95
SC-10101,2024-08-22,2024-08-01,Los Angeles,Antwerp,Sea,Textiles,9727.95,289.23,3.24,0.6,Clear,0.527,13.93,1,8971.96
SC-10102,2024-02-02,2024-02-01,Los Angeles,Rotterdam,Air,Textiles,5058.16,285.88,4.44,1.9,Storm,0.654,0.78,0,8304.95
SC-10103,2024-11-19,2024-11-01,Los Angeles,Hamburg,Sea,Textiles,7874.28,166.88,2.31,5.6,Rain,0.644,17.18,0,9075.73
SC-10105,2024-10-01,2024-10-01,Dubai,Marseille,Road,Pharmaceuticals,4114.74,54.21,1.93,8.8,Clear,0.566,3.39,1,9533.99
SC-10106,2024-03-08,2024-03-01,Rotterdam,Dubai,Sea,Electronics,6450.55,184.03,2.06,0.7,Clear,0.941,9.61,0,8689.13
SC-10107,2024-08-04,2024-08-01,Rotterdam,Hamburg,Sea,Automotive,11455.49,50.65,2.89,4.2,Fog,0.914,28.85,0,8971.96
SC-10109,2024-11-18,2024-11-01,Shanghai,Marseille,Road,Automotive,1616.21,483.17,1.75,1.5,Rain,0.729,1.59,0,9075.73
SC-10110,2024-08-05,2024-08-01,Dubai,Singapore,Air,Textiles,4701.4,485.07,2.07,7.7,Fog,0.966,0.82,1,8971.96
SC-10116,2024-05-26,2024-05-01,Shanghai,Los Angeles,Rail,Automotive,12153.25,228.37,1.54,6.7,Rain,0.665,14.04,1,10139.33
SC-10117,2024-09-28,2024-09-01,Singapore,Hamburg,Sea,Electronics,3205.27,241.53,3.22,8.9,Fog,0.731,9.81,1,9237.48
SC-10118,2024-05-22,2024-05-01,Antwerp,Los Angeles,Sea,Textiles,13442.11,379.13,1.51,0.6,Rain,0.539,24.04,0,10139.33
SC-10119,2024-09-09,2024-09-01,Rotterdam,Antwerp,Air,Automotive,8320.46,141.68,3.69,6.0,Fog,0.679,2.04,1,9237.48
SC-10122,2024-09-26,2024-09-01,Los Angeles,Rotterdam,Road,Electronics,5111.05,29.06,4.14,5.1,Rain,0.982,4.12,1,9237.48
SC-10128,2024-08-12,2024-08-01,Singapore,Shanghai,Road,Electronics,600.81,172.29,3.18,8.6,Fog,0.642,0.5,0,8971.96
SC-10129,2024-05-21,2024-05-01,Hamburg,Shanghai,Road,Pharmaceuticals,7905.84,426.17,3.45,3.4,Fog,0.834,8.15,1,10139.33
SC-10132,2024-04-03,2024-04-01,Dubai,Busan,Road,Perishables,2238.05,50.69,3.26,9.1,Hurricane,0.916,15.06,1,9464.43
SC-10133,2024-02-18,2024-02-01,Busan,Los Angeles,Road,Perishables,5395.42,9.0,2.72,0.3,Rain,0.655,4.29,0,8304.95
SC-10134,2024-04-22,2024-04-01,Shanghai,Rotterdam,Sea,Electronics,14172.19,481.88,1.33,7.7,Fog,0.532,40.3,1,9464.43
SC-10135,2024-06-05,2024-06-01,Los Angeles,Singapore,Rail,Textiles,5186.44,189.12,1.25,1.1,Storm,0.537,10.98,1,9648.17
SC-10137,2024-06-12,2024-06-01,Los Angeles,Marseille,Road,Automotive,10693.77,40.78,3.34,2.7,Rain,0.589,8.41,0,9648.17
SC-10141,2024-03-06,2024-03-01,Antwerp,Dubai,Sea,Perishables,4150.84,63.93,2.75,9.8,Storm,0.587,25.66,1,8689.13
SC-10147,2024-09-14,2024-09-01,Los Angeles,Antwerp,Air,Pharmaceuticals,7788.85,449.73,2.91,7.6,Fog,0.614,0.5,1,9237.48
SC-10149,2024-01-12,2024-01-01,Los Angeles,Rotterdam,Road,Textiles,4540.37,66.51,2.49,1.1,Storm,0.942,9.02,0,8338.88
SC-10151,2024-04-27,2024-04-01,Los Angeles,Rotterdam,Road,Perishables,3973.65,101.7,1.99,8.5,Rain,0.528,3.09,1,9464.43
SC-10154,2024-09-30,2024-09-01,Busan,Singapore,Rail,Electronics,14791.93,338.52,3.83,5.0,Fog,0.63,18.87,1,9237.48
SC-10156,2024-12-14,2024-12-01,Shanghai,Antwerp,Road,Perishables,10245.97,92.84,1.96,2.5,Storm,0.729,20.55,1,8916.32
SC-10157,2024-04-24,2024-04-01,Rotterdam,Busan,Rail,Electronics,11543.48,378.47,1.96,6.0,Fog,0.807,15.62,0,9464.43
SC-10158,2024-10-27,2024-10-01,Rotterdam,Shanghai,Air,Electronics,3945.74,237.6,4.17,2.6,Rain,0.624,0.55,1,9533.99
SC-10160,2024-06-10,2024-06-01,Antwerp,Busan,Air,Perishables,5832.86,308.69,3.03,4.4,Hurricane,0.807,1.3,1,9648.17
SC-10162,2024-01-04,2024-01-01,Antwerp,Marseille,Road,Perishables,9686.18,163.76,2.77,4.5,Fog,0.837,9.89,0,8338.88
SC-10163,2024-09-26,2024-09-01,Hamburg,Antwerp,Sea,Electronics,8268.73,234.81,2.49,4.9,Rain,0.891,17.38,0,9237.48
SC-10165,2024-07-01,2024-07-01,Rotterdam,Los Angeles,Sea,Electronics,12611.89,492.34,1.61,1.6,Hurricane,0.636,151.28,1,9385.31
SC-10167,2024-04-18,2024-04-01,Hamburg,Singapore,Sea,Perishables,3204.52,66.05,2.34,2.0,Clear,0.904,4.73,0,9464.43
SC-10169,2024-11-01,2024-11-01,Dubai,Los Angeles,Rail,Electronics,9067.95,384.76,2.71,7.9,Fog,0.923,13.86,0,9075.73
SC-10173,2024-07-22,2024-07-01,Rotterdam,Hamburg,Road,Automotive,3784.19,18.18,2.0,3.1,Clear,0.575,2.96,1,9385.31
SC-10174,2024-06-05,2024-06-01,Dubai,Los Angeles,Road,Automotive,9855.01,223.47,1.81,9.5,Clear,0.692,8.6,1,9648.17
SC-10176,2024-06-14,2024-06-01,Hamburg,Marseille,Road,Pharmaceuticals,10518.6,442.73,3.72,3.3,Fog,0.935,11.4,0,9648.17
SC-10179,2024-01-01,2024-01-01,Shanghai,Los Angeles,Rail,Electronics,2494.05,456.7,3.6,0.8,Hurricane,0.592,14.44,1,8338.88
SC-10181,2024-11-27,2024-11-01,Los Angeles,Marseille,Air,Perishables,2145.37,414.95,2.75,1.8,Clear,0.835,0.5,1,9075.73
SC-10183,2024-01-20,2024-01-01,Shanghai,Singapore,Rail,Automotive,13221.42,467.76,2.44,5.1,Fog,0.986,18.1,0,8338.88
SC-10184,2024-04-24,2024-04-01,Rotterdam,Marseille,Rail,Perishables,4240.15,375.96,3.31,0.1,Fog,0.749,4.11,0,9464.43
SC-10186,2024-11-10,2024-11-01,Antwerp,Rotterdam,Air,Perishables,12349.72,338.63,4.0,4.2,Fog,0.597,1.07,0,9075.73
SC-10187,2024-09-02,2024-09-01,Shanghai,Hamburg,Air,Automotive,8550.41,182.34,4.09,5.1,Hurricane,0.611,3.97,1,9237.48
SC-10188,2024-02-29,2024-02-01,Dubai,Singapore,Air,Pharmaceuticals,8179.93,469.15,1.76,2.1,Rain,0.854,0.57,0,8304.95
SC-10189,2024-09-03,2024-09-01,Los Angeles,Marseille,Air,Automotive,4006.86,138.51,1.65,5.5,Rain,0.52,0.67,0,9237.48
SC-10191,2024-03-21,2024-03-01,Dubai,Shanghai,Road,Perishables,13509.63,350.7,2.19,0.7,Rain,0.804,10.74,0,8689.13
SC-10192,2024-03-28,2024-03-01,Dubai,Singapore,Rail,Pharmaceuticals,13556.06,382.89,1.26,2.8,Hurricane,0.821,85.86,1,8689.13
SC-10194,2024-03-11,2024-03-01,Hamburg,Dubai,Air,Electronics,5415.93,103.2,1.95,2.5,Clear,0.686,0.5,1,8689.13
SC-10196,2024-05-08,2024-05-01,Busan,Shanghai,Air,Automotive,11026.36,369.53,3.57,8.2,Fog,0.767,1.11,1,10139.33
SC-10197,2024-05-11,2024-05-01,Singapore,Hamburg,Sea,Textiles,13508.1,32.83,3.72,9.1,Clear,0.553,27.15,1,10139.33
SC-10201,2024-06-18,2024-06-01,Los Angeles,Dubai,Rail,Pharmaceuticals,1720.03,491.49,1.77,5.2,Clear,0.696,1.14,1,9648.17
SC-10202,2024-09-28,2024-09-01,Los Angeles,Singapore,Road,Automotive,2843.62,321.75,2.21,4.3,Clear,0.744,2.65,0,9237.48
SC-10206,2024-08-04,2024-08-01,Shanghai,Hamburg,Road,Pharmaceuticals,1971.34,401.12,3.8,8.0,Hurricane,0.892,13.64,1,8971.96
SC-10209,2024-07-24,2024-07-01,Hamburg,Singapore,Air,Electronics,2831.72,91.15,3.28,0.9,Clear,0.596,0.5,1,9385.31
SC-10211,2024-11-15,2024-11-01,Dubai,Antwerp,Rail,Pharmaceuticals,10532.48,110.17,2.29,5.4,Rain,0.524,11.25,1,9075.73
SC-10219,2024-05-03,2024-05-01,Shanghai,Antwerp,Road,Perishables,12813.74,30.17,1.5,4.1,Fog,0.988,12.85,0,10139.33
SC-10220,2024-09-10,2024-09-01,Rotterdam,Marseille,Road,Perishables,10035.39,150.66,3.44,8.7,Rain,0.62,10.96,0,9237.48
SC-10221,2024-08-18,2024-08-01,Singapore,Busan,Air,Automotive,8740.47,237.68,3.59,9.4,Storm,0.931,1.36,1,8971.96
SC-10222,2024-03-06,2024-03-01,Shanghai,Los Angeles,Air,Textiles,1858.28,84.84,4.38,9.9,Hurricane,0.811,1.43,1,8689.13
SC-10223,2024-12-12,2024-12-01,Los Angeles,Antwerp,Sea,Automotive,5831.88,178.04,2.06,9.6,Clear,0.909,11.97,0,8916.32
SC-10224,2024-01-22,2024-01-01,Los Angeles,Dubai,Air,Automotive,4345.43,200.59,1.26,0.1,Storm,0.826,1.33,0,8338.88
SC-10227,2024-08-23,2024-08-01,Los Angeles,Shanghai,Sea,Pharmaceuticals,6199.92,442.29,3.81,3.5,Hurricane,0.535,80.05,1,8971.96
SC-10229,2024-08-13,2024-08-01,Shanghai,Rotterdam,Air,Perishables,9651.51,299.31,2.06,8.9,Clear,0.995,1.03,0,8971.96
SC-10230,2024-01-08,2024-01-01,Rotterdam,Busan,Sea,Automotive,12024.76,332.7,2.89,1.9,Clear,0.869,17.37,0,8338.88
SC-10231,2024-03-13,2024-03-01,Singapore,Rotterdam,Road,Pharmaceuticals,7788.24,210.25,2.29,6.2,Clear,0.664,5.96,1,8689.13
SC-10234,2024-03-01,2024-03-01,Singapore,Busan,Air,Textiles,3331.02,252.81,3.84,1.0,Hurricane,0.641,1.13,1,8689.13
SC-10235,2024-08-22,2024-08-01,Shanghai,Rotterdam,Air,Pharmaceuticals,10975.56,4.67,3.12,4.6,Rain,0.507,0.5,1,8971.96
SC-10236,2024-03-10,2024-03-01,Shanghai,Hamburg,Air,Automotive,4571.2,346.17,3.75,3.8,Clear,0.559,0.54,0,8689.13
SC-10237,2024-02-02,2024-02-01,Singapore,Marseille,Sea,Electronics,852.58,331.01,2.3,5.8,Clear,0.939,2.2,0,8304.95
SC-10238,2024-12-04,2024-12-01,Rotterdam,Hamburg,Rail,Perishables,9859.35,20.16,3.94,4.4,Storm,0.918,24.71,1,8916.32
SC-10239,2024-03-13,2024-03-01,Hamburg,Rotterdam,Air,Electronics,3068.1,184.76,2.11,0.2,Hurricane,0.648,0.89,1,8689.13
SC-10241,2024-08-31,2024-08-01,Los Angeles,Antwerp,Sea,Automotive,14331.96,210.95,1.91,5.4,Clear,0.896,25.6,0,8971.96
SC-10242,2024-10-12,2024-10-01,Hamburg,Los Angeles,Sea,Automotive,13765.53,251.47,2.77,4.7,Fog,0.969,36.08,0,9533.99
SC-10245,2024-08-07,2024-08-01,Busan,Shanghai,Air,Electronics,13960.62,291.45,4.39,1.9,Hurricane,0.621,7.54,1,8971.96
SC-10247,2024-05-15,2024-05-01,Antwerp,Los Angeles,Road,Textiles,14516.49,432.32,3.8,2.6,Clear,0.617,9.89,0,10139.33
SC-10251,2024-09-05,2024-09-01,Shanghai,Rotterdam,Rail,Perishables,6083.92,483.39,2.03,5.2,Rain,0.691,6.53,0,9237.48
SC-10254,2024-07-13,2024-07-01,Singapore,Antwerp,Air,Electronics,2957.64,431.62,4.29,6.4,Hurricane,0.72,1.5,1,9385.31
SC-10255,2024-04-06,2024-04-01,Shanghai,Antwerp,Road,Electronics,8573.62,240.8,1.24,9.2,Hurricane,0.808,59.8,1,9464.43
SC-10256,2024-04-09,2024-04-01,Dubai,Singapore,Air,Perishables,14074.24,35.31,3.14,7.8,Fog,0.535,1.76,1,9464.43
SC-10259,2024-12-28,2024-12-01,Hamburg,Singapore,Air,Perishables,1909.06,439.0,1.48,6.4,Fog,0.754,0.5,0,8916.32
SC-10263,2024-02-25,2024-02-01,Antwerp,Hamburg,Air,Automotive,8015.78,28.25,4.31,4.7,Hurricane,0.964,3.64,1,8304.95
SC-10267,2024-04-10,2024-04-01,Rotterdam,Shanghai,Road,Textiles,10686.02,235.23,2.51,6.2,Storm,0.677,25.24,1,9464.43
SC-10268,2024-03-03,2024-03-01,Los Angeles,Dubai,Road,Automotive,5712.62,429.07,2.22,2.3,Rain,0.732,4.5,0,8689.13
SC-10270,2024-12-13,2024-12-01,Antwerp,Los Angeles,Road,Automotive,12235.74,97.15,2.47,0.0,Rain,0.702,7.3,0,8916.32
SC-10271,2024-04-21,2024-04-01,Hamburg,Rotterdam,Rail,Automotive,12246.64,65.41,2.63,6.1,Storm,0.911,32.91,0,9464.43
SC-10272,2024-09-11,2024-09-01,Rotterdam,Busan,Road,Textiles,13072.55,149.63,4.43,3.6,Hurricane,0.797,73.88,1,9237.48
SC-10273,2024-07-15,2024-07-01,Hamburg,Busan,Rail,Automotive,13741.99,390.24,1.49,7.5,Storm,0.999,39.87,1,9385.31
SC-10274,2024-07-13,2024-07-01,Dubai,Rotterdam,Road,Pharmaceuticals,7914.46,236.34,4.24,3.8,Storm,0.893,17.11,1,9385.31
SC-10277,2024-05-23,2024-05-01,Shanghai,Busan,Air,Automotive,9924.48,167.03,3.94,6.5,Rain,0.668,0.66,1,10139.33
SC-10279,2024-07-06,2024-07-01,Singapore,Los Angeles,Air,Automotive,12038.99,172.17,2.62,9.6,Rain,0.514,0.92,0,9385.31
SC-10280,2024-10-12,2024-10-01,Antwerp,Singapore,Sea,Pharmaceuticals,13405.08,494.07,2.55,9.4,Storm,0.615,81.56,1,9533.99
SC-10282,2024-09-12,2024-09-01,Hamburg,Shanghai,Rail,Electronics,5945.95,90.4,4.25,9.2,Clear,0.82,5.5,0,9237.48
SC-10283,2024-03-18,2024-03-01,Los Angeles,Singapore,Sea,Perishables,1862.74,445.68,3.94,4.5,Fog,0.613,5.08,1,8689.13
SC-10286,2024-04-10,2024-04-01,Antwerp,Hamburg,Road,Automotive,7251.17,491.87,2.61,7.0,Hurricane,0.947,46.91,1,9464.43
SC-10287,2024-02-21,2024-02-01,Rotterdam,Shanghai,Rail,Perishables,8368.35,26.04,1.53,8.9,Clear,0.628,8.56,0,8304.95
SC-10290,2024-01-16,2024-01-01,Los Angeles,Singapore,Rail,Electronics,942.25,141.63,2.92,3.5,Clear,0.886,0.5,0,8338.88
SC-10291,2024-04-05,2024-04-01,Hamburg,Los Angeles,Road,Perishables,1041.55,92.97,1.22,8.3,Rain,0.907,1.09,0,9464.43
SC-10292,2024-08-30,2024-08-01,Los Angeles,Singapore,Air,Electronics,12427.71,20.64,2.24,7.0,Hurricane,0.759,7.05,1,8971.96
SC-10293,2024-06-19,2024-06-01,Shanghai,Los Angeles,Sea,Electronics,5722.76,11.9,3.43,6.9,Fog,0.956,15.58,1,9648.17
SC-10297,2024-08-06,2024-08-01,Shanghai,Dubai,Road,Electronics,3629.4,303.34,2.38,2.2,Fog,0.77,3.39,0,8971.96
SC-10299,2024-03-01,2024-03-01,Shanghai,Los Angeles,Rail,Automotive,1737.54,14.53,3.99,3.9,Clear,0.541,1.21,0,8689.13
SC-10300,2024-06-17,2024-06-01,Hamburg,Antwerp,Road,Textiles,1249.38,391.97,4.21,9.9,Fog,0.922,2.11,1,9648.17
SC-10302,2024-01-03,2024-01-01,Los Angeles,Busan,Air,Automotive,8339.21,381.18,1.62,2.3,Rain,0.827,1.06,1,8338.88
SC-10304,2024-09-28,2024-09-01,Dubai,Shanghai,Air,Perishables,11028.32,216.99,2.05,6.5,Clear,0.805,1.45,1,9237.48
SC-10306,2024-10-19,2024-10-01,Rotterdam,Shanghai,Rail,Automotive,7986.36,239.01,4.2,6.0,Storm,0.684,22.52,1,9533.99
SC-10312,2024-06-07,2024-06-01,Dubai,Marseille,Air,Pharmaceuticals,867.59,463.53,4.35,1.6,Rain,0.639,0.5,0,9648.17
SC-10313,2024-07-13,2024-07-01,Busan,Shanghai,Road,Automotive,14458.4,481.07,1.38,0.1,Hurricane,0.975,68.95,1,9385.31
SC-10314,2024-10-30,2024-10-01,Busan,Singapore,Air,Perishables,12621.71,254.97,3.54,1.7,Hurricane,0.68,4.71,1,9533.99
SC-10315,2024-08-10,2024-08-01,Dubai,Rotterdam,Road,Textiles,10591.63,226.96,2.96,8.4,Clear,0.502,9.73,0,8971.96
SC-10316,2024-02-29,2024-02-01,Hamburg,Rotterdam,Sea,Automotive,6429.82,140.07,2.78,0.2,Storm,0.891,26.97,1,8304.95
SC-10319,2024-03-03,2024-03-01,Dubai,Rotterdam,Sea,Electronics,4128.52,290.33,1.83,5.9,Rain,0.992,9.12,1,8689.13
SC-10320,2024-11-17,2024-11-01,Antwerp,Marseille,Rail,Automotive,8463.79,141.99,3.02,7.8,Hurricane,0.804,65.13,1,9075.73
SC-10321,2024-02-28,2024-02-01,Rotterdam,Marseille,Rail,Textiles,10861.64,140.23,2.04,7.5,Fog,0.75,15.01,1,8304.95
SC-10322,2024-02-21,2024-02-01,Singapore,Hamburg,Sea,Automotive,10072.86,203.08,4.35,0.5,Storm,0.691,43.29,1,8304.95
SC-10327,2024-06-10,2024-06-01,Hamburg,Busan,Sea,Automotive,9369.95,78.11,1.97,1.7,Hurricane,0.88,113.8,1,9648.17
SC-10328,2024-02-28,2024-02-01,Dubai,Marseille,Rail,Textiles,6584.2,220.34,2.82,9.8,Rain,0.798,9.27,1,8304.95
SC-10330,2024-03-23,2024-03-01,Dubai,Shanghai,Road,Electronics,5661.6,130.14,3.55,0.6,Fog,0.609,5.28,0,8689.13
SC-10331,2024-07-09,2024-07-01,Busan,Singapore,Sea,Automotive,11488.77,158.91,3.11,9.4,Hurricane,0.826,187.31,1,9385.31
SC-10332,2024-03-11,2024-03-01,Busan,Rotterdam,Road,Pharmaceuticals,708.71,44.4,1.49,5.9,Storm,0.883,1.17,1,8689.13
SC-10334,2024-03-10,2024-03-01,Dubai,Marseille,Rail,Textiles,1167.04,483.31,1.75,5.3,Fog,0.901,2.47,1,8689.13
SC-10336,2024-08-28,2024-08-01,Busan,Antwerp,Air,Electronics,12904.18,168.1,2.03,0.3,Fog,0.879,0.98,0,8971.96
SC-10338,2024-05-02,2024-05-01,Rotterdam,Busan,Air,Pharmaceuticals,7375.52,454.89,2.36,4.7,Hurricane,0.776,3.58,1,10139.33
SC-10340,2024-09-09,2024-09-01,Hamburg,Shanghai,Sea,Textiles,7628.43,405.53,1.62,7.1,Rain,0.991,16.55,1,9237.48
SC-10343,2024-02-10,2024-02-01,Hamburg,Rotterdam,Sea,Electronics,6790.85,81.56,3.53,0.0,Clear,0.531,9.38,0,8304.95
SC-10345,2024-03-24,2024-03-01,Shanghai,Dubai,Air,Pharmaceuticals,9429.83,269.23,2.63,8.3,Storm,0.784,2.16,0,8689.13
